epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,15.5491,0.44763,2.22144,0.9107,0.58105,0.8125,0.82911,0.77617,0.37037,1.13951,0.87935,0.00173206,0.000577352,0.00173206,0.000577352,0.00173206,0.000577352,0.00173206,0.000577352
33,15.9825,0.41498,2.06748,0.88888,0.59252,0.78123,0.83844,0.78549,0.37066,1.10079,0.87595,0.00170732,0.000569106,0.00170732,0.000569106,0.00170732,0.000569106,0.00170732,0.000569106
34,16.5285,0.4323,2.0971,0.94035,0.66332,0.83391,0.87491,0.82506,0.37274,1.05439,0.88795,0.00168258,0.000560859,0.00168258,0.000560859,0.00168258,0.000560859,0.00168258,0.000560859
35,16.9844,0.41261,2.05817,0.90812,0.66541,0.84255,0.88912,0.84553,0.38853,1.03281,0.89207,0.00165784,0.000552612,0.00165784,0.000552612,0.00165784,0.000552612,0.00165784,0.000552612
36,17.4427,0.41724,1.95058,0.92579,0.71115,0.83771,0.91198,0.84864,0.40414,0.98798,0.90183,0.0016331,0.000544365,0.0016331,0.000544365,0.0016331,0.000544365,0.0016331,0.000544365
37,17.9032,0.36276,1.97505,0.8879,0.91372,0.84186,0.95354,0.88501,0.42068,0.94528,0.91309,0.00160836,0.000536119,0.00160836,0.000536119,0.00160836,0.000536119,0.00160836,0.000536119
38,18.3505,0.39101,1.88028,0.87772,0.91768,0.8745,0.95354,0.88192,0.41412,0.87712,0.91696,0.00158362,0.000527872,0.00158362,0.000527872,0.00158362,0.000527872,0.00158362,0.000527872
39,18.775,0.36678,1.67389,0.86561,0.92141,0.8706,0.95354,0.9037,0.40527,0.8137,0.91189,0.00155888,0.000519625,0.00155888,0.000519625,0.00155888,0.000519625,0.00155888,0.000519625
40,19.246,0.43373,1.93745,0.84678,0.92912,0.86946,0.95354,0.89436,0.40738,0.77559,0.91415,0.00153414,0.000511379,0.00153414,0.000511379,0.00153414,0.000511379,0.00153414,0.000511379
41,19.6981,0.38476,1.64823,0.8648,0.93469,0.87197,0.995,0.93271,0.40602,0.75679,0.90726,0.0015094,0.000503132,0.0015094,0.000503132,0.0015094,0.000503132,0.0015094,0.000503132
42,20.1325,0.36938,1.71671,0.8822,0.9388,0.875,0.995,0.93896,0.39634,0.72212,0.89783,0.00148466,0.000494885,0.00148466,0.000494885,0.00148466,0.000494885,0.00148466,0.000494885
43,20.6685,0.39323,1.6422,0.88868,0.94218,0.875,0.995,0.92653,0.37015,0.69723,0.88831,0.00145992,0.000486639,0.00145992,0.000486639,0.00145992,0.000486639,0.00145992,0.000486639
44,21.0999,0.36322,1.57625,0.87015,0.95803,0.8605,0.995,0.94206,0.36827,0.69081,0.88028,0.00143518,0.000478392,0.00143518,0.000478392,0.00143518,0.000478392,0.00143518,0.000478392
45,21.5375,0.40153,1.71991,0.86759,0.77506,1,0.995,0.93587,0.38152,0.67366,0.87912,0.00141044,0.000470145,0.00141044,0.000470145,0.00141044,0.000470145,0.00141044,0.000470145
46,21.9672,0.39697,1.68447,0.88658,0.81394,0.9953,0.995,0.92962,0.37948,0.66882,0.87304,0.0013857,0.000461898,0.0013857,0.000461898,0.0013857,0.000461898,0.0013857,0.000461898
47,22.4146,0.36488,1.43813,0.86428,0.85409,1,0.995,0.93587,0.38118,0.66993,0.8716,0.00136096,0.000453652,0.00136096,0.000453652,0.00136096,0.000453652,0.00136096,0.000453652
48,22.8629,0.40476,1.65569,0.91201,0.88778,1,0.995,0.93895,0.38081,0.66072,0.87502,0.00133622,0.000445405,0.00133622,0.000445405,0.00133622,0.000445405,0.00133622,0.000445405
49,23.2808,0.36121,1.42521,0.84825,0.90245,1,0.995,0.93895,0.38695,0.65064,0.87729,0.00131148,0.000437158,0.00131148,0.000437158,0.00131148,0.000437158,0.00131148,0.000437158
50,23.7314,0.37783,1.60234,0.88484,0.93029,1,0.995,0.92962,0.37009,0.63748,0.87367,0.00128674,0.000428912,0.00128674,0.000428912,0.00128674,0.000428912,0.00128674,0.000428912
51,24.1611,0.36688,1.56221,0.87122,0.9416,1,0.995,0.9452,0.36654,0.61736,0.87333,0.00126199,0.000420665,0.00126199,0.000420665,0.00126199,0.000420665,0.00126199,0.000420665
52,24.6872,0.37847,1.62321,0.86231,0.95081,1,0.995,0.9452,0.38041,0.59314,0.87962,0.00123725,0.000412418,0.00123725,0.000412418,0.00123725,0.000412418,0.00123725,0.000412418
53,25.115,0.36045,1.40931,0.85746,0.95788,1,0.995,0.93276,0.39171,0.59926,0.88487,0.00121251,0.000404172,0.00121251,0.000404172,0.00121251,0.000404172,0.00121251,0.000404172
54,25.5476,0.3688,1.45521,0.89956,0.96091,1,0.995,0.93586,0.39129,0.59827,0.88554,0.00118777,0.000395925,0.00118777,0.000395925,0.00118777,0.000395925,0.00118777,0.000395925
55,25.9754,0.37392,1.51558,0.86896,0.95822,0.99455,0.995,0.92962,0.39372,0.6066,0.88641,0.00116303,0.000387678,0.00116303,0.000387678,0.00116303,0.000387678,0.00116303,0.000387678
56,26.4203,0.35435,1.34851,0.86574,0.95614,0.99359,0.995,0.93586,0.39025,0.59325,0.88475,0.00113829,0.000379431,0.00113829,0.000379431,0.00113829,0.000379431,0.00113829,0.000379431
57,26.8718,0.37405,1.50391,0.90344,0.95557,0.98955,0.995,0.94515,0.38379,0.5864,0.88221,0.00111355,0.000371185,0.00111355,0.000371185,0.00111355,0.000371185,0.00111355,0.000371185
58,27.3004,0.34355,1.41436,0.86247,0.95395,0.99499,0.995,0.95759,0.38291,0.57215,0.88149,0.00108881,0.000362938,0.00108881,0.000362938,0.00108881,0.000362938,0.00108881,0.000362938
59,27.759,0.34455,1.40308,0.86822,0.95792,1,0.995,0.94825,0.38013,0.56143,0.87922,0.00106407,0.000354691,0.00106407,0.000354691,0.00106407,0.000354691,0.00106407,0.000354691
60,28.2782,0.35485,1.3841,0.8832,0.96417,1,0.995,0.93891,0.37953,0.55463,0.87741,0.00103933,0.000346445,0.00103933,0.000346445,0.00103933,0.000346445,0.00103933,0.000346445
61,28.7219,0.35948,1.35842,0.8611,0.96902,0.99718,0.995,0.94515,0.38131,0.54353,0.87834,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198
62,29.1511,0.35714,1.44468,0.86437,0.9701,0.98755,0.995,0.94205,0.36928,0.537,0.87713,0.000989854,0.000329951,0.000989854,0.000329951,0.000989854,0.000329951,0.000989854,0.000329951
63,29.5861,0.357,1.46803,0.86758,0.96696,0.98537,0.995,0.94825,0.36585,0.53347,0.87772,0.000965114,0.000321705,0.000965114,0.000321705,0.000965114,0.000321705,0.000965114,0.000321705
64,30.0115,0.34679,1.28262,0.85247,0.97048,0.97209,0.995,0.95449,0.36893,0.52489,0.87774,0.000940374,0.000313458,0.000940374,0.000313458,0.000940374,0.000313458,0.000940374,0.000313458
65,30.4514,0.34965,1.21134,0.85424,0.96803,0.97117,0.995,0.9483,0.38485,0.52456,0.88129,0.000915634,0.000305211,0.000915634,0.000305211,0.000915634,0.000305211,0.000915634,0.000305211
66,30.8952,0.34818,1.34942,0.86046,0.95817,0.97599,0.995,0.9483,0.38344,0.5196,0.88105,0.000890893,0.000296964,0.000890893,0.000296964,0.000890893,0.000296964,0.000890893,0.000296964
67,31.3138,0.3536,1.26242,0.89578,0.95182,0.98418,0.995,0.93896,0.39346,0.50989,0.88166,0.000866153,0.000288718,0.000866153,0.000288718,0.000866153,0.000288718,0.000866153,0.000288718
68,31.8592,0.29231,1.26951,0.8445,0.95124,0.99146,0.995,0.92962,0.40265,0.50803,0.88269,0.000841413,0.000280471,0.000841413,0.000280471,0.000841413,0.000280471,0.000841413,0.000280471
69,32.2899,0.32513,1.21267,0.86138,0.95157,0.99659,0.995,0.92029,0.395,0.50195,0.87979,0.000816673,0.000272224,0.000816673,0.000272224,0.000816673,0.000272224,0.000816673,0.000272224
70,32.7135,0.29841,1.24785,0.83558,0.95154,0.99461,0.995,0.92963,0.3911,0.49283,0.87628,0.000791933,0.000263978,0.000791933,0.000263978,0.000791933,0.000263978,0.000791933,0.000263978
71,33.1417,0.34029,1.27699,0.8444,0.95101,0.98858,0.995,0.94521,0.39314,0.48485,0.87832,0.000767193,0.000255731,0.000767193,0.000255731,0.000767193,0.000255731,0.000767193,0.000255731
72,33.5696,0.32887,1.32585,0.87614,0.95321,0.99146,0.995,0.94521,0.38838,0.48241,0.8767,0.000742453,0.000247484,0.000742453,0.000247484,0.000742453,0.000247484,0.000742453,0.000247484
73,33.9984,0.32953,1.27085,0.84392,0.95324,0.99347,0.995,0.93581,0.39381,0.48416,0.87735,0.000717713,0.000239238,0.000717713,0.000239238,0.000717713,0.000239238,0.000717713,0.000239238
74,34.4482,0.33483,1.17855,0.86752,0.9547,0.99486,0.995,0.93272,0.39229,0.48639,0.87498,0.000692973,0.000230991,0.000692973,0.000230991,0.000692973,0.000230991,0.000692973,0.000230991
75,34.8812,0.29073,1.15021,0.84697,0.95804,0.99175,0.995,0.92338,0.39658,0.47939,0.87559,0.000668233,0.000222744,0.000668233,0.000222744,0.000668233,0.000222744,0.000668233,0.000222744
76,35.4114,0.32052,1.19022,0.84343,0.96222,0.99882,0.995,0.92647,0.39975,0.47934,0.8756,0.000643493,0.000214497,0.000643493,0.000214497,0.000643493,0.000214497,0.000643493,0.000214497
77,35.8537,0.33014,1.26221,0.8346,0.96506,0.99862,0.995,0.92647,0.40198,0.47642,0.87683,0.000618752,0.000206251,0.000618752,0.000206251,0.000618752,0.000206251,0.000618752,0.000206251
78,36.2763,0.37359,1.26407,0.85212,0.96824,0.99791,0.995,0.93891,0.39637,0.47215,0.87617,0.000594012,0.000198004,0.000594012,0.000198004,0.000594012,0.000198004,0.000594012,0.000198004
