shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-0.5414952181236313,-0.765456413154935,0.9710098387316108,-0.401902966426038,-1.607611865704152,-0.760854470791278
-0.7455146629124216,-0.6458059116998549,0.701029220063738,-0.14572817484913592,0.3666214083046682,-0.760854470791278
-0.8759030298827011,-0.4203107358806657,-0.1825437137583913,0.36815538909255385,1.0967962633382335,-0.760854470791278
0.015339807878856412,-0.2791845033951867,-0.662679700366597,0.7086991240031663,-1.517106999218899,-0.2991262536377
0.030679615757712823,-0.3083301383650139,-1.1688933603688585,-0.16106798272799233,-1.53091282630987,-0.2991262536377
0.030679615757712823,-0.30066023442558565,-1.2517283229146832,-0.06596117387908257,1.9220779272207085,-0.2991262536377
0.37889325460775336,-0.47093210188089185,-1.7472041174017452,-0.47093210188089185,1.919009965644937,-0.2991262536377
0.25770877236478773,-0.8728350683069298,-1.748738098189631,-0.7838641826095626,1.919009965644937,-0.2991262536377
0.21168934872821848,-0.8728350683069298,-1.748738098189631,-0.77772825945802,1.919009965644937,0.16106798272799233
0.22089323345553233,-0.8620972027917303,-1.210310841641771,-0.9587379924285258,1.7855536370988863,0.16106798272799233
0.0521553467881118,-0.38196121618352463,-1.1044661672776617,-0.2791845033951867,1.6382914814618648,0.16106798272799233
0.04295146206079795,-0.3758252930319821,-1.0998642249140047,-0.18867963690993386,-1.6520973085528354,0.16106798272799233
-0.0046019423636569235,-0.09203884727313846,-1.0829904362472627,0.7623884515791637,-1.6382914814618648,0.16106798272799233
-0.04141748127291231,-1.5410400932315805,1.500155473701438,0.3436116964863836,-1.5677283652191252,0.16106798272799233
